Scenario ID,Scenario,Method,Retention,Max |SMD|,Mean |Bias|,RMSE,Coverage,CI Width
28,"n=1000, prev=0.5, medium, strong",ACS-Balance,0.6791,0.0899,0.1673,0.2146,0.635,0.3987
28,"n=1000, prev=0.5, medium, strong",ACS-Knee,0.6633,0.0788,0.1391,0.2009,0.747,0.4023
28,"n=1000, prev=0.5, medium, strong",ACS-Weighted,0.7319,0.1342,0.3166,0.3807,0.28,0.3918
28,"n=1000, prev=0.5, medium, strong",Fixed-0.1,0.6122,0.0608,0.0692,0.137,0.981,0.4151
28,"n=1000, prev=0.5, medium, strong",Fixed-0.2,0.6211,0.0595,0.0706,0.1376,0.977,0.4123
28,"n=1000, prev=0.5, medium, strong",Fixed-0.5,0.657,0.0756,0.113,0.1698,0.86,0.403
28,"n=1000, prev=0.5, medium, strong",No Caliper,1.0,0.5213,1.3543,1.366,0.0,0.419
29,"n=1000, prev=0.5, low, weak",ACS-Balance,0.5098,0.0902,0.081,0.1368,0.922,0.3635
29,"n=1000, prev=0.5, low, weak",ACS-Knee,0.5203,0.1039,0.0871,0.1423,0.891,0.3606
29,"n=1000, prev=0.5, low, weak",ACS-Weighted,0.6105,0.1756,0.1368,0.1875,0.665,0.3348
29,"n=1000, prev=0.5, low, weak",Fixed-0.1,0.4578,0.0751,0.077,0.137,0.946,0.3828
29,"n=1000, prev=0.5, low, weak",Fixed-0.2,0.4685,0.0757,0.0765,0.1357,0.96,0.3787
29,"n=1000, prev=0.5, low, weak",Fixed-0.5,0.5193,0.1039,0.0827,0.1377,0.925,0.3599
29,"n=1000, prev=0.5, low, weak",No Caliper,1.0,0.6901,0.5391,0.5485,0.0,0.27
30,"n=1000, prev=0.5, low, strong",ACS-Balance,0.5094,0.0901,0.1422,0.2039,0.813,0.4546
30,"n=1000, prev=0.5, low, strong",ACS-Knee,0.5219,0.1061,0.1806,0.2558,0.686,0.4519
30,"n=1000, prev=0.5, low, strong",ACS-Weighted,0.6128,0.1775,0.4187,0.5013,0.209,0.427
30,"n=1000, prev=0.5, low, strong",Fixed-0.1,0.4591,0.0757,0.0801,0.1576,0.98,0.4758
30,"n=1000, prev=0.5, low, strong",Fixed-0.2,0.47,0.0764,0.0811,0.1577,0.975,0.4706
30,"n=1000, prev=0.5, low, strong",Fixed-0.5,0.5204,0.1053,0.1611,0.217,0.764,0.4504
30,"n=1000, prev=0.5, low, strong",No Caliper,1.0,0.6899,1.7964,1.8046,0.0,0.4206
31,"n=1000, prev=0.7, high, weak",ACS-Balance,0.9859,0.0851,0.0752,0.1273,0.919,0.3349
31,"n=1000, prev=0.7, high, weak",ACS-Knee,0.9834,0.0797,0.0755,0.1273,0.924,0.3353
31,"n=1000, prev=0.7, high, weak",ACS-Weighted,0.9887,0.0878,0.0794,0.131,0.906,0.3346
31,"n=1000, prev=0.7, high, weak",Fixed-0.1,0.9518,0.0651,0.0674,0.1211,0.949,0.3405
31,"n=1000, prev=0.7, high, weak",Fixed-0.2,0.9638,0.0649,0.0681,0.1209,0.954,0.3384
31,"n=1000, prev=0.7, high, weak",Fixed-0.5,0.9799,0.0779,0.0705,0.1229,0.938,0.336
31,"n=1000, prev=0.7, high, weak",No Caliper,1.0,0.3597,0.2562,0.2856,0.19,0.3443
32,"n=1000, prev=0.7, high, strong",ACS-Balance,0.9855,0.0856,0.1414,0.1985,0.782,0.4304
32,"n=1000, prev=0.7, high, strong",ACS-Knee,0.9817,0.077,0.1225,0.1892,0.836,0.4298
32,"n=1000, prev=0.7, high, strong",ACS-Weighted,0.988,0.087,0.1551,0.216,0.725,0.4304
32,"n=1000, prev=0.7, high, strong",Fixed-0.1,0.95,0.0647,0.0715,0.1423,0.985,0.4345
32,"n=1000, prev=0.7, high, strong",Fixed-0.2,0.962,0.0636,0.0717,0.1419,0.989,0.4318
32,"n=1000, prev=0.7, high, strong",Fixed-0.5,0.9789,0.0777,0.1039,0.1666,0.924,0.4298
32,"n=1000, prev=0.7, high, strong",No Caliper,1.0,0.3583,0.855,0.8797,0.0,0.5236
33,"n=1000, prev=0.7, medium, weak",ACS-Balance,0.8667,0.0898,0.0779,0.1323,0.937,0.3554
33,"n=1000, prev=0.7, medium, weak",ACS-Knee,0.8971,0.1338,0.1063,0.1613,0.81,0.3506
33,"n=1000, prev=0.7, medium, weak",ACS-Weighted,0.9466,0.1814,0.1312,0.1781,0.7,0.3416
33,"n=1000, prev=0.7, medium, weak",Fixed-0.1,0.8164,0.0729,0.0735,0.1307,0.951,0.3656
33,"n=1000, prev=0.7, medium, weak",Fixed-0.2,0.8285,0.0723,0.0732,0.1295,0.962,0.363
33,"n=1000, prev=0.7, medium, weak",Fixed-0.5,0.871,0.0987,0.0773,0.1319,0.941,0.3543
33,"n=1000, prev=0.7, medium, weak",No Caliper,1.0,0.5678,0.4311,0.4492,0.001,0.3478
34,"n=1000, prev=0.7, medium, strong",ACS-Balance,0.8657,0.0901,0.1443,0.2056,0.802,0.4469
34,"n=1000, prev=0.7, medium, strong",ACS-Knee,0.8924,0.1284,0.2559,0.3607,0.57,0.4461
34,"n=1000, prev=0.7, medium, strong",ACS-Weighted,0.9444,0.1793,0.4131,0.4588,0.094,0.4394
34,"n=1000, prev=0.7, medium, strong",Fixed-0.1,0.8144,0.0716,0.0784,0.152,0.98,0.4571
34,"n=1000, prev=0.7, medium, strong",Fixed-0.2,0.8263,0.0712,0.0794,0.1518,0.979,0.4538
34,"n=1000, prev=0.7, medium, strong",Fixed-0.5,0.8689,0.0981,0.146,0.2042,0.818,0.4463
34,"n=1000, prev=0.7, medium, strong",No Caliper,1.0,0.5695,1.4558,1.4706,0.0,0.5476
35,"n=1000, prev=0.7, low, weak",ACS-Balance,0.6847,0.0915,0.0856,0.1474,0.933,0.4012
35,"n=1000, prev=0.7, low, weak",ACS-Knee,0.773,0.1891,0.1472,0.2123,0.701,0.382
35,"n=1000, prev=0.7, low, weak",ACS-Weighted,0.8961,0.2978,0.2222,0.2652,0.382,0.3531
35,"n=1000, prev=0.7, low, weak",Fixed-0.1,0.6355,0.0862,0.0819,0.1472,0.948,0.4166
35,"n=1000, prev=0.7, low, weak",Fixed-0.2,0.6505,0.0858,0.0804,0.1453,0.949,0.4115
35,"n=1000, prev=0.7, low, weak",Fixed-0.5,0.7193,0.1245,0.0922,0.1511,0.911,0.3909
35,"n=1000, prev=0.7, low, weak",No Caliper,1.0,0.7413,0.5713,0.5848,0.0,0.3479
36,"n=1000, prev=0.7, low, strong",ACS-Balance,0.6838,0.0923,0.1326,0.2059,0.873,0.5015
36,"n=1000, prev=0.7, low, strong",ACS-Knee,0.7706,0.186,0.3833,0.5523,0.536,0.4848
36,"n=1000, prev=0.7, low, strong",ACS-Weighted,0.8954,0.2973,0.7149,0.7741,0.016,0.4589
36,"n=1000, prev=0.7, low, strong",Fixed-0.1,0.6349,0.0849,0.0876,0.1705,0.986,0.5169
36,"n=1000, prev=0.7, low, strong",Fixed-0.2,0.6498,0.086,0.0899,0.1715,0.974,0.5116
36,"n=1000, prev=0.7, low, strong",Fixed-0.5,0.7191,0.1252,0.1959,0.2528,0.691,0.4911
36,"n=1000, prev=0.7, low, strong",No Caliper,1.0,0.7439,1.909,1.9193,0.0,0.5487
37,"n=2000, prev=0.3, high, weak",ACS-Balance,0.9995,0.0511,0.0479,0.0841,0.957,0.2339
37,"n=2000, prev=0.3, high, weak",ACS-Knee,0.9877,0.0436,0.0469,0.0836,0.957,0.235
37,"n=2000, prev=0.3, high, weak",ACS-Weighted,0.9916,0.0444,0.0473,0.0837,0.954,0.2346
37,"n=2000, prev=0.3, high, weak",Fixed-0.1,0.962,0.0457,0.0474,0.0845,0.965,0.2381
37,"n=2000, prev=0.3, high, weak",Fixed-0.2,0.9693,0.0451,0.0471,0.0841,0.959,0.2372
37,"n=2000, prev=0.3, high, weak",Fixed-0.5,0.9804,0.0451,0.047,0.0836,0.958,0.2359
37,"n=2000, prev=0.3, high, weak",No Caliper,1.0,0.0516,0.0481,0.0842,0.957,0.2338
38,"n=2000, prev=0.3, high, strong",ACS-Balance,0.9995,0.0497,0.0684,0.1142,0.925,0.297
38,"n=2000, prev=0.3, high, strong",ACS-Knee,0.9894,0.0431,0.0585,0.105,0.963,0.297
38,"n=2000, prev=0.3, high, strong",ACS-Weighted,0.9923,0.0435,0.0604,0.107,0.946,0.2968
38,"n=2000, prev=0.3, high, strong",Fixed-0.1,0.9635,0.0451,0.0533,0.1012,0.978,0.3
38,"n=2000, prev=0.3, high, strong",Fixed-0.2,0.9708,0.0445,0.0527,0.1007,0.977,0.2989
38,"n=2000, prev=0.3, high, strong",Fixed-0.5,0.9813,0.0443,0.0533,0.101,0.972,0.2975
38,"n=2000, prev=0.3, high, strong",No Caliper,1.0,0.0501,0.0696,0.1153,0.921,0.2972
39,"n=2000, prev=0.3, medium, weak",ACS-Balance,0.9275,0.0876,0.0669,0.1021,0.876,0.2426
39,"n=2000, prev=0.3, medium, weak",ACS-Knee,0.8815,0.0604,0.057,0.0945,0.926,0.2488
39,"n=2000, prev=0.3, medium, weak",ACS-Weighted,0.916,0.0751,0.0643,0.1001,0.889,0.2442
39,"n=2000, prev=0.3, medium, weak",Fixed-0.1,0.8255,0.0505,0.0524,0.0925,0.948,0.2568
39,"n=2000, prev=0.3, medium, weak",Fixed-0.2,0.8338,0.0503,0.052,0.0918,0.95,0.2555
39,"n=2000, prev=0.3, medium, weak",Fixed-0.5,0.8668,0.0557,0.0537,0.092,0.945,0.2505
39,"n=2000, prev=0.3, medium, weak",No Caliper,1.0,0.1545,0.1108,0.1386,0.544,0.2352
40,"n=2000, prev=0.3, medium, strong",ACS-Balance,0.9288,0.0871,0.1717,0.2032,0.399,0.3075
40,"n=2000, prev=0.3, medium, strong",ACS-Knee,0.8821,0.0597,0.1011,0.1482,0.768,0.3116
40,"n=2000, prev=0.3, medium, strong",ACS-Weighted,0.9163,0.0739,0.1512,0.1917,0.548,0.3083
40,"n=2000, prev=0.3, medium, strong",Fixed-0.1,0.8256,0.05,0.0578,0.1084,0.973,0.3196
40,"n=2000, prev=0.3, medium, strong",Fixed-0.2,0.8341,0.0493,0.0585,0.1085,0.978,0.3181
40,"n=2000, prev=0.3, medium, strong",Fixed-0.5,0.8672,0.0551,0.0727,0.12,0.916,0.3129
40,"n=2000, prev=0.3, medium, strong",No Caliper,1.0,0.1531,0.3628,0.3818,0.012,0.3117
41,"n=2000, prev=0.3, low, weak",ACS-Balance,0.7403,0.0901,0.0688,0.1099,0.887,0.272
41,"n=2000, prev=0.3, low, weak",ACS-Knee,0.7173,0.0802,0.0642,0.1075,0.906,0.2767
41,"n=2000, prev=0.3, low, weak",ACS-Weighted,0.7989,0.1218,0.0915,0.1288,0.742,0.2624
41,"n=2000, prev=0.3, low, weak",Fixed-0.1,0.6425,0.0594,0.059,0.1047,0.947,0.2916
41,"n=2000, prev=0.3, low, weak",Fixed-0.2,0.6552,0.0586,0.0579,0.1033,0.948,0.2887
41,"n=2000, prev=0.3, low, weak",Fixed-0.5,0.7135,0.0783,0.0611,0.1042,0.927,0.2769
41,"n=2000, prev=0.3, low, weak",No Caliper,1.0,0.3146,0.235,0.2501,0.028,0.2379
42,"n=2000, prev=0.3, low, strong",ACS-Balance,0.738,0.0905,0.1671,0.2046,0.52,0.3401
42,"n=2000, prev=0.3, low, strong",ACS-Knee,0.7172,0.0821,0.1433,0.1969,0.657,0.3446
42,"n=2000, prev=0.3, low, strong",ACS-Weighted,0.7986,0.1239,0.2864,0.3298,0.201,0.3316
42,"n=2000, prev=0.3, low, strong",Fixed-0.1,0.6414,0.0599,0.0633,0.121,0.979,0.3608
42,"n=2000, prev=0.3, low, strong",Fixed-0.2,0.6542,0.0599,0.0646,0.1214,0.973,0.3575
42,"n=2000, prev=0.3, low, strong",Fixed-0.5,0.7127,0.0803,0.122,0.1652,0.765,0.3444
42,"n=2000, prev=0.3, low, strong",No Caliper,1.0,0.3147,0.7874,0.797,0.0,0.3265
43,"n=2000, prev=0.5, high, weak",ACS-Balance,0.8579,0.0809,0.0624,0.0899,0.808,0.1975
43,"n=2000, prev=0.5, high, weak",ACS-Knee,0.812,0.0393,0.0448,0.0763,0.925,0.2026
43,"n=2000, prev=0.5, high, weak",ACS-Weighted,0.8541,0.0729,0.0627,0.0917,0.787,0.198
43,"n=2000, prev=0.5, high, weak",Fixed-0.1,0.7837,0.0311,0.0409,0.0739,0.949,0.2061
43,"n=2000, prev=0.5, high, weak",Fixed-0.2,0.79,0.031,0.0409,0.0738,0.95,0.2053
43,"n=2000, prev=0.5, high, weak",Fixed-0.5,0.8107,0.0396,0.0427,0.0746,0.941,0.2027
43,"n=2000, prev=0.5, high, weak",No Caliper,1.0,0.3011,0.2344,0.2452,0.002,0.1886
44,"n=2000, prev=0.5, high, strong",ACS-Balance,0.8584,0.0806,0.184,0.2027,0.16,0.2535
44,"n=2000, prev=0.5, high, strong",ACS-Knee,0.8128,0.0401,0.0734,0.1143,0.831,0.2565
44,"n=2000, prev=0.5, high, strong",ACS-Weighted,0.8569,0.0753,0.1809,0.2183,0.328,0.254
44,"n=2000, prev=0.5, high, strong",Fixed-0.1,0.7838,0.0308,0.0417,0.0848,0.986,0.26
44,"n=2000, prev=0.5, high, strong",Fixed-0.2,0.7901,0.0307,0.0423,0.0847,0.983,0.2589
44,"n=2000, prev=0.5, high, strong",Fixed-0.5,0.811,0.0394,0.0622,0.0995,0.923,0.2564
44,"n=2000, prev=0.5, high, strong",No Caliper,1.0,0.3006,0.7799,0.7909,0.0,0.2802
45,"n=2000, prev=0.5, medium, weak",ACS-Balance,0.6901,0.0906,0.0645,0.0958,0.848,0.2193
45,"n=2000, prev=0.5, medium, weak",ACS-Knee,0.6501,0.0581,0.0513,0.087,0.906,0.2258
45,"n=2000, prev=0.5, medium, weak",ACS-Weighted,0.7261,0.1217,0.0932,0.124,0.632,0.2146
45,"n=2000, prev=0.5, medium, weak",Fixed-0.1,0.6138,0.0426,0.0463,0.0829,0.957,0.232
45,"n=2000, prev=0.5, medium, weak",Fixed-0.2,0.6212,0.0435,0.0457,0.0823,0.953,0.2307
45,"n=2000, prev=0.5, medium, weak",Fixed-0.5,0.6564,0.0633,0.0496,0.0846,0.916,0.2246
45,"n=2000, prev=0.5, medium, weak",No Caliper,1.0,0.5075,0.4078,0.4141,0.0,0.1904
46,"n=2000, prev=0.5, medium, strong",ACS-Balance,0.6888,0.0906,0.1917,0.215,0.22,0.2769
46,"n=2000, prev=0.5, medium, strong",ACS-Knee,0.6509,0.0599,0.1021,0.15,0.742,0.2825
46,"n=2000, prev=0.5, medium, strong",ACS-Weighted,0.7271,0.1243,0.3062,0.3544,0.118,0.2739
46,"n=2000, prev=0.5, medium, strong",Fixed-0.1,0.6134,0.0428,0.0515,0.0974,0.975,0.2889
46,"n=2000, prev=0.5, medium, strong",Fixed-0.2,0.6208,0.0436,0.0517,0.0976,0.97,0.2874
46,"n=2000, prev=0.5, medium, strong",Fixed-0.5,0.6559,0.0635,0.1027,0.1378,0.745,0.2812
46,"n=2000, prev=0.5, medium, strong",No Caliper,1.0,0.5106,1.3694,1.3755,0.0,0.2955
47,"n=2000, prev=0.5, low, weak",ACS-Balance,0.523,0.0896,0.0653,0.1041,0.872,0.2517
47,"n=2000, prev=0.5, low, weak",ACS-Knee,0.5063,0.0779,0.0645,0.1039,0.873,0.2563
47,"n=2000, prev=0.5, low, weak",ACS-Weighted,0.6009,0.1596,0.1213,0.1588,0.541,0.2367
47,"n=2000, prev=0.5, low, weak",Fixed-0.1,0.46,0.0528,0.0551,0.0974,0.943,0.2681
47,"n=2000, prev=0.5, low, weak",Fixed-0.2,0.47,0.0545,0.0554,0.0971,0.938,0.2651
47,"n=2000, prev=0.5, low, weak",Fixed-0.5,0.5196,0.0891,0.064,0.1032,0.874,0.2524
47,"n=2000, prev=0.5, low, weak",No Caliper,1.0,0.6773,0.5415,0.5464,0.0,0.1905
48,"n=2000, prev=0.5, low, strong",ACS-Balance,0.5218,0.0891,0.1666,0.1989,0.433,0.3161
48,"n=2000, prev=0.5, low, strong",ACS-Knee,0.5062,0.0777,0.1363,0.1924,0.689,0.3206
48,"n=2000, prev=0.5, low, strong",ACS-Weighted,0.6002,0.1587,0.3904,0.4614,0.147,0.302
48,"n=2000, prev=0.5, low, strong",Fixed-0.1,0.4588,0.053,0.0583,0.1122,0.978,0.3337
48,"n=2000, prev=0.5, low, strong",Fixed-0.2,0.4689,0.0539,0.0619,0.114,0.971,0.3306
48,"n=2000, prev=0.5, low, strong",Fixed-0.5,0.5192,0.0893,0.1586,0.1903,0.504,0.3169
48,"n=2000, prev=0.5, low, strong",No Caliper,1.0,0.6758,1.8089,1.8132,0.0,0.2963
49,"n=2000, prev=0.7, high, weak",ACS-Balance,0.9934,0.0868,0.0638,0.0982,0.869,0.2354
49,"n=2000, prev=0.7, high, weak",ACS-Knee,0.9857,0.0652,0.0554,0.0925,0.903,0.236
49,"n=2000, prev=0.7, high, weak",ACS-Weighted,0.9909,0.0737,0.0595,0.0956,0.877,0.2354
49,"n=2000, prev=0.7, high, weak",Fixed-0.1,0.9632,0.0454,0.0446,0.0834,0.955,0.2385
49,"n=2000, prev=0.7, high, weak",Fixed-0.2,0.9706,0.0458,0.0441,0.0827,0.955,0.2376
49,"n=2000, prev=0.7, high, weak",Fixed-0.5,0.9837,0.0619,0.0497,0.0866,0.936,0.2361
49,"n=2000, prev=0.7, high, weak",No Caliper,1.0,0.3324,0.2518,0.2669,0.021,0.2431
50,"n=2000, prev=0.7, high, strong",ACS-Balance,0.9928,0.0865,0.1743,0.2055,0.36,0.2987
50,"n=2000, prev=0.7, high, strong",ACS-Knee,0.9852,0.065,0.1191,0.1673,0.69,0.2982
50,"n=2000, prev=0.7, high, strong",ACS-Weighted,0.9911,0.0759,0.1523,0.1953,0.533,0.2984
50,"n=2000, prev=0.7, high, strong",Fixed-0.1,0.9626,0.0455,0.0527,0.1011,0.974,0.2991
50,"n=2000, prev=0.7, high, strong",Fixed-0.2,0.97,0.0454,0.0539,0.1019,0.969,0.298
50,"n=2000, prev=0.7, high, strong",Fixed-0.5,0.9832,0.0619,0.095,0.1344,0.809,0.2973
50,"n=2000, prev=0.7, high, strong",No Caliper,1.0,0.336,0.8492,0.862,0.0,0.3659
51,"n=2000, prev=0.7, medium, weak",ACS-Balance,0.8844,0.0896,0.0656,0.1028,0.885,0.2486
51,"n=2000, prev=0.7, medium, weak",ACS-Knee,0.8934,0.1174,0.0922,0.1375,0.726,0.2483
51,"n=2000, prev=0.7, medium, weak",ACS-Weighted,0.9494,0.1707,0.1255,0.1535,0.484,0.2407
51,"n=2000, prev=0.7, medium, weak",Fixed-0.1,0.8257,0.0505,0.052,0.0923,0.95,0.2571
51,"n=2000, prev=0.7, medium, weak",Fixed-0.2,0.8348,0.0522,0.0516,0.0919,0.951,0.2557
51,"n=2000, prev=0.7, medium, weak",Fixed-0.5,0.8755,0.0824,0.0603,0.0984,0.911,0.2497
51,"n=2000, prev=0.7, medium, weak",No Caliper,1.0,0.5474,0.4309,0.4401,0.0,0.245
52,"n=2000, prev=0.7, medium, strong",ACS-Balance,0.8844,0.0895,0.1727,0.2036,0.398,0.3115
52,"n=2000, prev=0.7, medium, strong",ACS-Knee,0.8922,0.116,0.2487,0.3742,0.576,0.3144
52,"n=2000, prev=0.7, medium, strong",ACS-Weighted,0.9488,0.1698,0.4112,0.4356,0.02,0.3082
52,"n=2000, prev=0.7, medium, strong",Fixed-0.1,0.8261,0.0501,0.0536,0.1056,0.977,0.3194
52,"n=2000, prev=0.7, medium, strong",Fixed-0.2,0.835,0.0515,0.0578,0.1085,0.963,0.3177
52,"n=2000, prev=0.7, medium, strong",Fixed-0.5,0.8755,0.0824,0.1428,0.1758,0.569,0.3125
52,"n=2000, prev=0.7, medium, strong",No Caliper,1.0,0.5448,1.4473,1.4545,0.0,0.3864
53,"n=2000, prev=0.7, low, weak",ACS-Balance,0.7048,0.0905,0.0673,0.1098,0.91,0.2782
53,"n=2000, prev=0.7, low, weak",ACS-Knee,0.7817,0.1864,0.1458,0.2052,0.615,0.2677
53,"n=2000, prev=0.7, low, weak",ACS-Weighted,0.9047,0.2962,0.2221,0.2487,0.156,0.2477
53,"n=2000, prev=0.7, low, weak",Fixed-0.1,0.6399,0.0607,0.0601,0.1058,0.953,0.2916
53,"n=2000, prev=0.7, low, weak",Fixed-0.2,0.6538,0.0626,0.0592,0.1047,0.944,0.2886
53,"n=2000, prev=0.7, low, weak",Fixed-0.5,0.7217,0.1075,0.0727,0.114,0.884,0.275
53,"n=2000, prev=0.7, low, weak",No Caliper,1.0,0.7202,0.5708,0.5779,0.0,0.2452
54,"n=2000, prev=0.7, low, strong",ACS-Balance,0.7052,0.0903,0.1563,0.1964,0.571,0.3473
54,"n=2000, prev=0.7, low, strong",ACS-Knee,0.7795,0.1831,0.4118,0.6045,0.523,0.3403
54,"n=2000, prev=0.7, low, strong",ACS-Weighted,0.9068,0.2981,0.7508,0.7968,0.002,0.3213
54,"n=2000, prev=0.7, low, strong",Fixed-0.1,0.6415,0.0599,0.0629,0.1215,0.975,0.3613
54,"n=2000, prev=0.7, low, strong",Fixed-0.2,0.6552,0.0628,0.0668,0.1242,0.962,0.3575
54,"n=2000, prev=0.7, low, strong",Fixed-0.5,0.7232,0.1083,0.1973,0.2283,0.367,0.3435
54,"n=2000, prev=0.7, low, strong",No Caliper,1.0,0.7203,1.913,1.9184,0.0,0.3868
