Scenario ID,Scenario,Method,Mean Estimate,Bias,RMSE,Coverage,CI Width
28,"n=1000, prev=0.5, medium, strong",ACS-Balance,N/A,0.1634,0.2146,0.635,0.3987
28,"n=1000, prev=0.5, medium, strong",ACS-Knee,N/A,0.1251,0.2009,0.747,0.4023
28,"n=1000, prev=0.5, medium, strong",ACS-Weighted,N/A,0.3150,0.3807,0.280,0.3918
28,"n=1000, prev=0.5, medium, strong",Fixed-0.1,N/A,0.0058,0.1370,0.981,0.4151
28,"n=1000, prev=0.5, medium, strong",Fixed-0.2,N/A,0.0177,0.1376,0.977,0.4123
28,"n=1000, prev=0.5, medium, strong",Fixed-0.5,N/A,0.1033,0.1698,0.860,0.4030
28,"n=1000, prev=0.5, medium, strong",No Caliper,N/A,1.3543,1.3660,0.000,0.4190
29,"n=1000, prev=0.5, low, weak",ACS-Balance,N/A,0.0390,0.1368,0.922,0.3635
29,"n=1000, prev=0.5, low, weak",ACS-Knee,N/A,0.0480,0.1423,0.891,0.3606
29,"n=1000, prev=0.5, low, weak",ACS-Weighted,N/A,0.1225,0.1875,0.665,0.3348
29,"n=1000, prev=0.5, low, weak",Fixed-0.1,N/A,0.0021,0.1370,0.946,0.3828
29,"n=1000, prev=0.5, low, weak",Fixed-0.2,N/A,0.0081,0.1357,0.960,0.3787
29,"n=1000, prev=0.5, low, weak",Fixed-0.5,N/A,0.0471,0.1377,0.925,0.3599
29,"n=1000, prev=0.5, low, weak",No Caliper,N/A,0.5391,0.5485,0.000,0.2700
30,"n=1000, prev=0.5, low, strong",ACS-Balance,N/A,0.1303,0.2039,0.813,0.4546
30,"n=1000, prev=0.5, low, strong",ACS-Knee,N/A,0.1664,0.2558,0.686,0.4519
30,"n=1000, prev=0.5, low, strong",ACS-Weighted,N/A,0.4174,0.5013,0.209,0.4270
30,"n=1000, prev=0.5, low, strong",Fixed-0.1,N/A,0.0102,0.1576,0.980,0.4758
30,"n=1000, prev=0.5, low, strong",Fixed-0.2,N/A,0.0295,0.1577,0.975,0.4706
30,"n=1000, prev=0.5, low, strong",Fixed-0.5,N/A,0.1575,0.2170,0.764,0.4504
30,"n=1000, prev=0.5, low, strong",No Caliper,N/A,1.7964,1.8046,0.000,0.4206
31,"n=1000, prev=0.7, high, weak",ACS-Balance,N/A,0.0414,0.1273,0.919,0.3349
31,"n=1000, prev=0.7, high, weak",ACS-Knee,N/A,0.0375,0.1273,0.924,0.3353
31,"n=1000, prev=0.7, high, weak",ACS-Weighted,N/A,0.0472,0.1310,0.906,0.3346
31,"n=1000, prev=0.7, high, weak",Fixed-0.1,N/A,0.0057,0.1211,0.949,0.3405
31,"n=1000, prev=0.7, high, weak",Fixed-0.2,N/A,0.0092,0.1209,0.954,0.3384
31,"n=1000, prev=0.7, high, weak",Fixed-0.5,N/A,0.0300,0.1229,0.938,0.3360
31,"n=1000, prev=0.7, high, weak",No Caliper,N/A,0.2560,0.2856,0.190,0.3443
32,"n=1000, prev=0.7, high, strong",ACS-Balance,N/A,0.1289,0.1985,0.782,0.4304
32,"n=1000, prev=0.7, high, strong",ACS-Knee,N/A,0.1020,0.1892,0.836,0.4298
32,"n=1000, prev=0.7, high, strong",ACS-Weighted,N/A,0.1426,0.2160,0.725,0.4304
32,"n=1000, prev=0.7, high, strong",Fixed-0.1,N/A,0.0050,0.1423,0.985,0.4345
32,"n=1000, prev=0.7, high, strong",Fixed-0.2,N/A,0.0159,0.1419,0.989,0.4318
32,"n=1000, prev=0.7, high, strong",Fixed-0.5,N/A,0.0884,0.1666,0.924,0.4298
32,"n=1000, prev=0.7, high, strong",No Caliper,N/A,0.8550,0.8797,0.000,0.5236
33,"n=1000, prev=0.7, medium, weak",ACS-Balance,N/A,0.0372,0.1323,0.937,0.3554
33,"n=1000, prev=0.7, medium, weak",ACS-Knee,N/A,0.0748,0.1613,0.810,0.3506
33,"n=1000, prev=0.7, medium, weak",ACS-Weighted,N/A,0.1222,0.1781,0.700,0.3416
33,"n=1000, prev=0.7, medium, weak",Fixed-0.1,N/A,-0.0016,0.1307,0.951,0.3656
33,"n=1000, prev=0.7, medium, weak",Fixed-0.2,N/A,0.0051,0.1295,0.962,0.3630
33,"n=1000, prev=0.7, medium, weak",Fixed-0.5,N/A,0.0400,0.1319,0.941,0.3543
33,"n=1000, prev=0.7, medium, weak",No Caliper,N/A,0.4311,0.4492,0.001,0.3478
34,"n=1000, prev=0.7, medium, strong",ACS-Balance,N/A,0.1328,0.2056,0.802,0.4469
34,"n=1000, prev=0.7, medium, strong",ACS-Knee,N/A,0.2415,0.3607,0.570,0.4461
34,"n=1000, prev=0.7, medium, strong",ACS-Weighted,N/A,0.4129,0.4588,0.094,0.4394
34,"n=1000, prev=0.7, medium, strong",Fixed-0.1,N/A,0.0044,0.1520,0.980,0.4571
34,"n=1000, prev=0.7, medium, strong",Fixed-0.2,N/A,0.0223,0.1518,0.979,0.4538
34,"n=1000, prev=0.7, medium, strong",Fixed-0.5,N/A,0.1411,0.2042,0.818,0.4463
34,"n=1000, prev=0.7, medium, strong",No Caliper,N/A,1.4558,1.4706,0.000,0.5476
35,"n=1000, prev=0.7, low, weak",ACS-Balance,N/A,0.0375,0.1474,0.933,0.4012
35,"n=1000, prev=0.7, low, weak",ACS-Knee,N/A,0.1176,0.2123,0.701,0.3820
35,"n=1000, prev=0.7, low, weak",ACS-Weighted,N/A,0.2205,0.2652,0.382,0.3531
35,"n=1000, prev=0.7, low, weak",Fixed-0.1,N/A,0.0072,0.1472,0.948,0.4166
35,"n=1000, prev=0.7, low, weak",Fixed-0.2,N/A,0.0157,0.1453,0.949,0.4115
35,"n=1000, prev=0.7, low, weak",Fixed-0.5,N/A,0.0624,0.1511,0.911,0.3909
35,"n=1000, prev=0.7, low, weak",No Caliper,N/A,0.5713,0.5848,0.000,0.3479
36,"n=1000, prev=0.7, low, strong",ACS-Balance,N/A,0.1081,0.2059,0.873,0.5015
36,"n=1000, prev=0.7, low, strong",ACS-Knee,N/A,0.3689,0.5523,0.536,0.4848
36,"n=1000, prev=0.7, low, strong",ACS-Weighted,N/A,0.7149,0.7741,0.016,0.4589
36,"n=1000, prev=0.7, low, strong",Fixed-0.1,N/A,0.0030,0.1705,0.986,0.5169
36,"n=1000, prev=0.7, low, strong",Fixed-0.2,N/A,0.0317,0.1715,0.974,0.5116
36,"n=1000, prev=0.7, low, strong",Fixed-0.5,N/A,0.1938,0.2528,0.691,0.4911
36,"n=1000, prev=0.7, low, strong",No Caliper,N/A,1.9090,1.9193,0.000,0.5487
37,"n=2000, prev=0.3, high, weak",ACS-Balance,N/A,0.0128,0.0841,0.957,0.2339
37,"n=2000, prev=0.3, high, weak",ACS-Knee,N/A,0.0054,0.0836,0.957,0.2350
37,"n=2000, prev=0.3, high, weak",ACS-Weighted,N/A,0.0075,0.0837,0.954,0.2346
37,"n=2000, prev=0.3, high, weak",Fixed-0.1,N/A,-0.0025,0.0845,0.965,0.2381
37,"n=2000, prev=0.3, high, weak",Fixed-0.2,N/A,-0.0020,0.0841,0.959,0.2372
37,"n=2000, prev=0.3, high, weak",Fixed-0.5,N/A,0.0014,0.0836,0.958,0.2359
37,"n=2000, prev=0.3, high, weak",No Caliper,N/A,0.0133,0.0842,0.957,0.2338
38,"n=2000, prev=0.3, high, strong",ACS-Balance,N/A,0.0484,0.1142,0.925,0.2970
38,"n=2000, prev=0.3, high, strong",ACS-Knee,N/A,0.0276,0.1050,0.963,0.2970
38,"n=2000, prev=0.3, high, strong",ACS-Weighted,N/A,0.0327,0.1070,0.946,0.2968
38,"n=2000, prev=0.3, high, strong",Fixed-0.1,N/A,0.0009,0.1012,0.978,0.3000
38,"n=2000, prev=0.3, high, strong",Fixed-0.2,N/A,0.0023,0.1007,0.977,0.2989
38,"n=2000, prev=0.3, high, strong",Fixed-0.5,N/A,0.0121,0.1010,0.972,0.2975
38,"n=2000, prev=0.3, high, strong",No Caliper,N/A,0.0502,0.1153,0.921,0.2972
39,"n=2000, prev=0.3, medium, weak",ACS-Balance,N/A,0.0510,0.1021,0.876,0.2426
39,"n=2000, prev=0.3, medium, weak",ACS-Knee,N/A,0.0247,0.0945,0.926,0.2488
39,"n=2000, prev=0.3, medium, weak",ACS-Weighted,N/A,0.0442,0.1001,0.889,0.2442
39,"n=2000, prev=0.3, medium, weak",Fixed-0.1,N/A,0.0003,0.0925,0.948,0.2568
39,"n=2000, prev=0.3, medium, weak",Fixed-0.2,N/A,0.0029,0.0918,0.950,0.2555
39,"n=2000, prev=0.3, medium, weak",Fixed-0.5,N/A,0.0167,0.0920,0.945,0.2505
39,"n=2000, prev=0.3, medium, weak",No Caliper,N/A,0.1084,0.1386,0.544,0.2352
40,"n=2000, prev=0.3, medium, strong",ACS-Balance,N/A,0.1709,0.2032,0.399,0.3075
40,"n=2000, prev=0.3, medium, strong",ACS-Knee,N/A,0.0845,0.1482,0.768,0.3116
40,"n=2000, prev=0.3, medium, strong",ACS-Weighted,N/A,0.1467,0.1917,0.548,0.3083
40,"n=2000, prev=0.3, medium, strong",Fixed-0.1,N/A,0.0015,0.1084,0.973,0.3196
40,"n=2000, prev=0.3, medium, strong",Fixed-0.2,N/A,0.0091,0.1085,0.978,0.3181
40,"n=2000, prev=0.3, medium, strong",Fixed-0.5,N/A,0.0547,0.1200,0.916,0.3129
40,"n=2000, prev=0.3, medium, strong",No Caliper,N/A,0.3628,0.3818,0.012,0.3117
41,"n=2000, prev=0.3, low, weak",ACS-Balance,N/A,0.0477,0.1099,0.887,0.2720
41,"n=2000, prev=0.3, low, weak",ACS-Knee,N/A,0.0359,0.1075,0.906,0.2767
41,"n=2000, prev=0.3, low, weak",ACS-Weighted,N/A,0.0825,0.1288,0.742,0.2624
41,"n=2000, prev=0.3, low, weak",Fixed-0.1,N/A,-0.0007,0.1047,0.947,0.2916
41,"n=2000, prev=0.3, low, weak",Fixed-0.2,N/A,0.0041,0.1033,0.948,0.2887
41,"n=2000, prev=0.3, low, weak",Fixed-0.5,N/A,0.0322,0.1042,0.927,0.2769
41,"n=2000, prev=0.3, low, weak",No Caliper,N/A,0.2350,0.2501,0.028,0.2379
42,"n=2000, prev=0.3, low, strong",ACS-Balance,N/A,0.1653,0.2046,0.520,0.3401
42,"n=2000, prev=0.3, low, strong",ACS-Knee,N/A,0.1327,0.1969,0.657,0.3446
42,"n=2000, prev=0.3, low, strong",ACS-Weighted,N/A,0.2860,0.3298,0.201,0.3316
42,"n=2000, prev=0.3, low, strong",Fixed-0.1,N/A,0.0089,0.1210,0.979,0.3608
42,"n=2000, prev=0.3, low, strong",Fixed-0.2,N/A,0.0244,0.1214,0.973,0.3575
42,"n=2000, prev=0.3, low, strong",Fixed-0.5,N/A,0.1184,0.1652,0.765,0.3444
42,"n=2000, prev=0.3, low, strong",No Caliper,N/A,0.7874,0.7970,0.000,0.3265
43,"n=2000, prev=0.5, high, weak",ACS-Balance,N/A,0.0549,0.0899,0.808,0.1975
43,"n=2000, prev=0.5, high, weak",ACS-Knee,N/A,0.0175,0.0763,0.925,0.2026
43,"n=2000, prev=0.5, high, weak",ACS-Weighted,N/A,0.0517,0.0917,0.787,0.1980
43,"n=2000, prev=0.5, high, weak",Fixed-0.1,N/A,0.0004,0.0739,0.949,0.2061
43,"n=2000, prev=0.5, high, weak",Fixed-0.2,N/A,0.0023,0.0738,0.950,0.2053
43,"n=2000, prev=0.5, high, weak",Fixed-0.5,N/A,0.0158,0.0746,0.941,0.2027
43,"n=2000, prev=0.5, high, weak",No Caliper,N/A,0.2344,0.2452,0.002,0.1886
44,"n=2000, prev=0.5, high, strong",ACS-Balance,N/A,0.1840,0.2027,0.160,0.2535
44,"n=2000, prev=0.5, high, strong",ACS-Knee,N/A,0.0609,0.1143,0.831,0.2565
44,"n=2000, prev=0.5, high, strong",ACS-Weighted,N/A,0.1803,0.2183,0.328,0.2540
44,"n=2000, prev=0.5, high, strong",Fixed-0.1,N/A,0.0017,0.0848,0.986,0.2600
44,"n=2000, prev=0.5, high, strong",Fixed-0.2,N/A,0.0083,0.0847,0.983,0.2589
44,"n=2000, prev=0.5, high, strong",Fixed-0.5,N/A,0.0539,0.0995,0.923,0.2564
44,"n=2000, prev=0.5, high, strong",No Caliper,N/A,0.7799,0.7909,0.000,0.2802
45,"n=2000, prev=0.5, medium, weak",ACS-Balance,N/A,0.0547,0.0958,0.848,0.2193
45,"n=2000, prev=0.5, medium, weak",ACS-Knee,N/A,0.0234,0.0870,0.906,0.2258
45,"n=2000, prev=0.5, medium, weak",ACS-Weighted,N/A,0.0868,0.1240,0.632,0.2146
45,"n=2000, prev=0.5, medium, weak",Fixed-0.1,N/A,-0.0017,0.0829,0.957,0.2320
45,"n=2000, prev=0.5, medium, weak",Fixed-0.2,N/A,0.0023,0.0823,0.953,0.2307
45,"n=2000, prev=0.5, medium, weak",Fixed-0.5,N/A,0.0277,0.0846,0.916,0.2246
45,"n=2000, prev=0.5, medium, weak",No Caliper,N/A,0.4078,0.4141,0.000,0.1904
46,"n=2000, prev=0.5, medium, strong",ACS-Balance,N/A,0.1915,0.2150,0.220,0.2769
46,"n=2000, prev=0.5, medium, strong",ACS-Knee,N/A,0.0905,0.1500,0.742,0.2825
46,"n=2000, prev=0.5, medium, strong",ACS-Weighted,N/A,0.3057,0.3544,0.118,0.2739
46,"n=2000, prev=0.5, medium, strong",Fixed-0.1,N/A,0.0030,0.0974,0.975,0.2889
46,"n=2000, prev=0.5, medium, strong",Fixed-0.2,N/A,0.0160,0.0976,0.970,0.2874
46,"n=2000, prev=0.5, medium, strong",Fixed-0.5,N/A,0.1010,0.1378,0.745,0.2812
46,"n=2000, prev=0.5, medium, strong",No Caliper,N/A,1.3694,1.3755,0.000,0.2955
47,"n=2000, prev=0.5, low, weak",ACS-Balance,N/A,0.0470,0.1041,0.872,0.2517
47,"n=2000, prev=0.5, low, weak",ACS-Knee,N/A,0.0335,0.1039,0.873,0.2563
47,"n=2000, prev=0.5, low, weak",ACS-Weighted,N/A,0.1147,0.1588,0.541,0.2367
47,"n=2000, prev=0.5, low, weak",Fixed-0.1,N/A,0.0003,0.0974,0.943,0.2681
47,"n=2000, prev=0.5, low, weak",Fixed-0.2,N/A,0.0057,0.0971,0.938,0.2651
47,"n=2000, prev=0.5, low, weak",Fixed-0.5,N/A,0.0444,0.1032,0.874,0.2524
47,"n=2000, prev=0.5, low, weak",No Caliper,N/A,0.5415,0.5464,0.000,0.1905
48,"n=2000, prev=0.5, low, strong",ACS-Balance,N/A,0.1652,0.1989,0.433,0.3161
48,"n=2000, prev=0.5, low, strong",ACS-Knee,N/A,0.1244,0.1924,0.689,0.3206
48,"n=2000, prev=0.5, low, strong",ACS-Weighted,N/A,0.3899,0.4614,0.147,0.3020
48,"n=2000, prev=0.5, low, strong",Fixed-0.1,N/A,0.0054,0.1122,0.978,0.3337
48,"n=2000, prev=0.5, low, strong",Fixed-0.2,N/A,0.0272,0.1140,0.971,0.3306
48,"n=2000, prev=0.5, low, strong",Fixed-0.5,N/A,0.1579,0.1903,0.504,0.3169
48,"n=2000, prev=0.5, low, strong",No Caliper,N/A,1.8089,1.8132,0.000,0.2963
49,"n=2000, prev=0.7, high, weak",ACS-Balance,N/A,0.0519,0.0982,0.869,0.2354
49,"n=2000, prev=0.7, high, weak",ACS-Knee,N/A,0.0312,0.0925,0.903,0.2360
49,"n=2000, prev=0.7, high, weak",ACS-Weighted,N/A,0.0413,0.0956,0.877,0.2354
49,"n=2000, prev=0.7, high, weak",Fixed-0.1,N/A,0.0012,0.0834,0.955,0.2385
49,"n=2000, prev=0.7, high, weak",Fixed-0.2,N/A,0.0037,0.0827,0.955,0.2376
49,"n=2000, prev=0.7, high, weak",Fixed-0.5,N/A,0.0258,0.0866,0.936,0.2361
49,"n=2000, prev=0.7, high, weak",No Caliper,N/A,0.2518,0.2669,0.021,0.2431
50,"n=2000, prev=0.7, high, strong",ACS-Balance,N/A,0.1729,0.2055,0.360,0.2987
50,"n=2000, prev=0.7, high, strong",ACS-Knee,N/A,0.1064,0.1673,0.690,0.2982
50,"n=2000, prev=0.7, high, strong",ACS-Weighted,N/A,0.1457,0.1953,0.533,0.2984
50,"n=2000, prev=0.7, high, strong",Fixed-0.1,N/A,0.0041,0.1011,0.974,0.2991
50,"n=2000, prev=0.7, high, strong",Fixed-0.2,N/A,0.0157,0.1019,0.969,0.2980
50,"n=2000, prev=0.7, high, strong",Fixed-0.5,N/A,0.0892,0.1344,0.809,0.2973
50,"n=2000, prev=0.7, high, strong",No Caliper,N/A,0.8492,0.8620,0.000,0.3659
51,"n=2000, prev=0.7, medium, weak",ACS-Balance,N/A,0.0498,0.1028,0.885,0.2486
51,"n=2000, prev=0.7, medium, weak",ACS-Knee,N/A,0.0719,0.1375,0.726,0.2483
51,"n=2000, prev=0.7, medium, weak",ACS-Weighted,N/A,0.1238,0.1535,0.484,0.2407
51,"n=2000, prev=0.7, medium, weak",Fixed-0.1,N/A,0.0012,0.0923,0.950,0.2571
51,"n=2000, prev=0.7, medium, weak",Fixed-0.2,N/A,0.0068,0.0919,0.951,0.2557
51,"n=2000, prev=0.7, medium, weak",Fixed-0.5,N/A,0.0413,0.0984,0.911,0.2497
51,"n=2000, prev=0.7, medium, weak",No Caliper,N/A,0.4309,0.4401,0.000,0.2450
52,"n=2000, prev=0.7, medium, strong",ACS-Balance,N/A,0.1711,0.2036,0.398,0.3115
52,"n=2000, prev=0.7, medium, strong",ACS-Knee,N/A,0.2383,0.3742,0.576,0.3144
52,"n=2000, prev=0.7, medium, strong",ACS-Weighted,N/A,0.4112,0.4356,0.020,0.3082
52,"n=2000, prev=0.7, medium, strong",Fixed-0.1,N/A,0.0063,0.1056,0.977,0.3194
52,"n=2000, prev=0.7, medium, strong",Fixed-0.2,N/A,0.0244,0.1085,0.963,0.3177
52,"n=2000, prev=0.7, medium, strong",Fixed-0.5,N/A,0.1418,0.1758,0.569,0.3125
52,"n=2000, prev=0.7, medium, strong",No Caliper,N/A,1.4473,1.4545,0.000,0.3864
53,"n=2000, prev=0.7, low, weak",ACS-Balance,N/A,0.0449,0.1098,0.910,0.2782
53,"n=2000, prev=0.7, low, weak",ACS-Knee,N/A,0.1228,0.2052,0.615,0.2677
53,"n=2000, prev=0.7, low, weak",ACS-Weighted,N/A,0.2221,0.2487,0.156,0.2477
53,"n=2000, prev=0.7, low, weak",Fixed-0.1,N/A,0.0014,0.1058,0.953,0.2916
53,"n=2000, prev=0.7, low, weak",Fixed-0.2,N/A,0.0093,0.1047,0.944,0.2886
53,"n=2000, prev=0.7, low, weak",Fixed-0.5,N/A,0.0573,0.1140,0.884,0.2750
53,"n=2000, prev=0.7, low, weak",No Caliper,N/A,0.5708,0.5779,0.000,0.2452
54,"n=2000, prev=0.7, low, strong",ACS-Balance,N/A,0.1525,0.1964,0.571,0.3473
54,"n=2000, prev=0.7, low, strong",ACS-Knee,N/A,0.4034,0.6045,0.523,0.3403
54,"n=2000, prev=0.7, low, strong",ACS-Weighted,N/A,0.7508,0.7968,0.002,0.3213
54,"n=2000, prev=0.7, low, strong",Fixed-0.1,N/A,0.0086,0.1215,0.975,0.3613
54,"n=2000, prev=0.7, low, strong",Fixed-0.2,N/A,0.0349,0.1242,0.962,0.3575
54,"n=2000, prev=0.7, low, strong",Fixed-0.5,N/A,0.1970,0.2283,0.367,0.3435
54,"n=2000, prev=0.7, low, strong",No Caliper,N/A,1.9130,1.9184,0.000,0.3868
